E l=0 l=1 l=2 l=3
13.5 2.1044248977554969 0.27621523484077520 1.6900513567183299E-002 8.0077699102293343E-004
14.0 2.0637372666839080 0.28201560391259622 1.8117295787627424E-002 9.0308935607908141E-004
14.5 2.0244514069738675 0.28747232496095709 1.9346581442989366E-002 1.0122378114778511E-003
15.0 1.9864966111832523 0.29260128099405447 2.0585687272807053E-002 1.1281625276293159E-003
15.5 1.9498068715351222 0.29741785898362411 2.1832109872965515E-002 1.2507815568883255E-003
16.0 1.9143204975247081 0.30193691104487635 2.3083520670016951E-002 1.3799931265345237E-003
16.5 1.8799797631515727 0.30617273030392911 2.4337759837733057E-002 1.5156778394015945E-003
17.0 1.8467305954295237 0.31013903820001049 2.5592829477747710E-002 1.6577007671067774E-003
17.5 1.8145222832002799 0.31384898070431727 2.6846886300269619E-002 1.8059134262676253E-003
18.0 1.7833072246676607 0.31731513129601541 2.8098234021596093E-002 1.9601556314065359E-003
18.5 1.7530406848887687 0.32054949921387876 2.9345315623374155E-002 2.1202572220254084E-003
19.0 1.7236866746199893 0.32356358112270739 3.0586706751067637E-002 2.2860396695133585E-003
19.5 1.6951872673453596 0.32636817768957860 3.1821102308181914E-002 2.4573175263018707E-003
20.0 1.6675180071678726 0.32897377035758896 3.3047319395775883E-002 2.6338998316008484E-003
20.5 1.6406435885769446 0.33139025672714845 3.4264281788804120E-002 2.8155913119934728E-003
21.0 1.6145544957798694 0.33362722607692613 3.5471020641127525E-002 3.0021935503407333E-003
21.5 1.5891705097001079 0.33569327628312529 3.6666646087815627E-002 3.1935058877782417E-003
22.0 1.5644868969204171 0.33759709647745495 3.7850373856942190E-002 3.3893265283189218E-003
22.5 1.5404754972542214 0.33934677267060243 3.9021496698362142E-002 3.5894532448560493E-003
23.0 1.5171096468407224 0.34094998714693059 4.0179384293814881E-002 3.7936841517242615E-003
23.5 1.4943856191140801 0.34241422173051306 4.1323484375081473E-002 4.0018184093332642E-003
24.0 1.4722355425003728 0.34374603548933558 4.2453290750785272E-002 4.2136566302829288E-003
24.5 1.4506590849460519 0.34495220058096682 4.3568379121095076E-002 4.4290016644103845E-003
25.0 1.4296346462496876 0.34603897002291489 4.4668375001810930E-002 4.6476588695069428E-003
25.5 1.4091416969166612 0.34701228283833729 4.5752956391306270E-002 4.8694365493852686E-003
26.0 1.3891806367285580 0.34787797670971793 4.6821858073447832E-002 5.0941463591133674E-003
26.5 1.3696924210918624 0.34864101301924977 4.7874834220885697E-002 5.3216033292274043E-003
27.0 1.3506799355390464 0.34930668193206310 4.8911705796658406E-002 5.5516265117149348E-003
27.5 1.3321263248224675 0.34987981926062639 4.9932322987231242E-002 5.7840389167237759E-003
28.0 1.3140155215238614 0.35036501972575695 5.0936570800299924E-002 6.0186677486336283E-003
28.5 1.2963321981264764 0.35076664954926051 5.1924366208887948E-002 6.2553445407352399E-003
29.0 1.2790617273770220 0.35108885834618664 5.2895655494650112E-002 6.4939052614274044E-003
29.5 1.2622078052555081 0.35133579541782667 5.3850421632826335E-002 6.7341904875138272E-003
30.0 1.2457213027191525 0.35151079778458849 5.4788642316187693E-002 6.9760450777531409E-003
30.5 1.2296075945411229 0.35161763858442413 5.5710347758407178E-002 7.2193187793601950E-003
31.0 1.2138544773608169 0.35165970840940219 5.6615578468372001E-002 7.4638658598746013E-003
31.5 1.1984502724982236 0.35164023216054074 5.7504393551091847E-002 7.7095451992344613E-003
32.0 1.1833838003610608 0.35156227766051346 5.8376869002708408E-002 7.9562202738929916E-003
